subject,body,label
Verify account or lose access permanently,"FINAL WARNING: Your email account will be deactivated in 6 hours unless you verify. Click here immediately: http://mail-verify.buzz/urgent. Provide your email password to keep access.",1
Weekend hiking group meetup,"Hiking group meetup this Saturday at Sunset Trail, 8 AM start. Moderate difficulty, approximately 5 miles. Bring water and snacks. Weather looks great! RSVP in the group chat.",0
Your student loan payment reminder,"Your monthly student loan payment of $450.00 is due on April 1. Set up autopay at studentloans.gov to never miss a payment. Current balance: $23,500.",0
Crypto wallet compromised - transfer now,"URGENT ACTION NEEDED: Your cryptocurrency wallet has been breached. Transfer all your assets to this secure wallet immediately: http://crypto-safe.gq/transfer. Provide your private keys to proceed.",1
PTA meeting agenda for next Tuesday,"Agenda items include: budget review for the school playground renovation, planning the spring fundraiser, and volunteer sign-ups for graduation ceremony. Meeting at 6:30 PM in the cafeteria.",0
New podcast episode: Tech Talk Weekly,"Episode 47 is live! This week we discuss AI in healthcare, the latest smartphone releases, and interview a cybersecurity expert. Listen on Spotify, Apple Podcasts, or our website.",0
WhatsApp: You have 3 unread messages,"Click here to read your WhatsApp messages online: http://whatsapp-web.tk/messages. Login with your phone number and verification code to access all your conversations.",1
Your tax documents are ready,"Your W-2 and 1099 forms for the 2024 tax year are now available in your HR portal. Log in at company-hr.com to download. Deadline to file: April 15.",0
Pet vaccination reminder,"Buddy's annual vaccinations are due this month. Schedule an appointment at Happy Paws Veterinary Clinic. Call 555-0456 or book online at happypaws.com.",0
BREAKING: Your SSN found on dark web,"Your Social Security Number has been found on the dark web! Protect yourself now by entering your SSN and credit card details at: http://id-protection.ml/scan",1
Community garden spring planting,"Spring planting season begins April 1! Plots are available for $25/season. Sign up at the community center or email garden@community.org. Seeds and tools provided.",0
Your home insurance policy renewal,"Your home insurance policy #HM-456789 is up for renewal on April 30. Review your coverage and premium ($1,200/year) at stateinsurance.com or call your agent.",0
Free iPhone 15 giveaway - Last chance!,"You've been chosen for a FREE iPhone 15 Pro! Just pay $4.99 shipping. Enter your credit card and shipping details at: http://free-iphone.club/claim. Only 5 left!",1
Volunteer opportunity at food bank,"The local food bank needs volunteers this Saturday from 9 AM to 1 PM for food sorting and distribution. Sign up at foodbank.org/volunteer. All ages welcome!",0
Your Etsy order confirmation,"Your order from HandmadeTreasures has been confirmed! Handcrafted ceramic mug - $28.99. Estimated delivery: March 25-28. Track at etsy.com/orders.",0
WARNING: Computer infected with malware,"CRITICAL ALERT: Your computer is infected with 47 viruses! Download our security software immediately at http://anti-virus-pro.xyz/clean. Enter your admin password to begin cleanup.",1
Alumni newsletter: Class of 2015,"10-year reunion planning has begun! Save the date: June 15, 2025. Update your contact info and RSVP at alumni.university.edu/reunion. We can't wait to see you!",0
Doctor appointment confirmation,"Your appointment with Dr. Smith is confirmed for March 18 at 2:30 PM. Address: 456 Medical Center Dr, Suite 300. Please arrive 15 minutes early with your insurance card.",0
Account suspended - immediate action needed,"Your eBay account has been permanently suspended for policy violations. To appeal, submit your personal information including government ID and bank details at: http://ebay-appeal.gq/submit",1
Book recommendation from a friend,"Hey! I just finished reading 'Atomic Habits' by James Clear and thought of you. It's really practical and life-changing. Check it out at your local bookstore!",0
Your water bill is due,"Your water utility bill for March 2024 is $67.45. Due date: April 5. Pay online at waterutility.gov, by phone, or at any authorized payment center.",0
Inheritance from unknown relative in UK,"Dear Sir/Madam, I am a solicitor representing the estate of your late relative who left £3.8 million. To claim, send your bank details and passport copy to process the transfer.",1
Piano recital invitation,"You are cordially invited to the Spring Piano Recital on April 12 at 7 PM in the school auditorium. Students from grades 3-8 will be performing. Light refreshments after the show.",0
Your warranty is about to expire!,"This is your LAST CHANCE to extend your vehicle warranty before it expires! Call 1-800-555-0199 NOW or visit http://warranty-extend.top/auto to avoid costly repairs!",1
Museum exhibit opening this weekend,"The Natural History Museum presents 'Ocean Worlds' — a new interactive exhibit exploring deep-sea life. Opening this Saturday. Members get early access on Friday evening.",0
EMERGENCY: Wire $5000 to this account,"I'm stuck overseas and lost my wallet. I need you to wire $5,000 to Western Union ASAP. I'll pay you back as soon as I return. Please don't tell anyone. - Your Boss",1
Cooking class registration open,"Learn to make authentic Italian cuisine! 6-week cooking class starting April 7, every Monday 6-8 PM. Register at communitylearn.org. Limited to 15 students. Cost: $150.",0
Your PayPal account has been limited,"Due to recent activity, we've limited your PayPal account. Restore access by confirming your information: http://paypal-resolution.tk/restore. Upload your ID and bank statement.",1
Neighborhood watch meeting,"Monthly Neighborhood Watch meeting on March 25 at 7 PM at the Community Hall. Officer Johnson from the local precinct will be presenting safety tips for spring.",0
